stability_score,average_monthly_income,income_variance,debt_to_income_ratio,min_income,max_income,loan_amount,loan_term_months,employment_type_encoded,months_of_data,loan_to_income_ratio,stability_anomaly,outcome
97.55,5100.61,15655.69,36.03,4958.52,5194.31,41048,24,4,3,0.67,0,2
14.94,2869.52,5958161.24,20.33,256.22,6158.43,21349,48,1,4,0.62,0,0
31.09,2224.72,2350564.55,11.33,258.03,4534.87,9223,48,1,9,0.35,0,0
0.81,1223.17,1471867.89,7.65,300.0,3628.49,3423,48,1,7,0.23,0,0
34.75,2841.31,3437636.46,13.52,300.0,5931.3,4279,12,1,6,0.13,0,1
37.82,2459.39,2338348.96,10.33,580.99,5578.42,7329,36,1,8,0.25,0,1
31.88,2414.32,2704439.19,24.27,300.0,4829.24,17392,36,2,11,0.6,0,1
41.97,2679.26,2417725.7,19.33,300.0,4385.68,10679,24,1,5,0.33,0,1
17.45,2102.55,3012678.29,21.18,228.27,4346.5,9186,24,1,8,0.36,0,0
64.95,3665.06,1650606.67,59.51,2381.58,4951.09,24291,12,1,3,0.55,0,1
35.61,1663.62,1147542.37,35.85,633.26,3165.81,22234,48,2,4,1.11,0,0
73.06,2698.26,528543.38,11.93,928.15,3438.79,9973,36,3,11,0.31,0,2
32.4,2996.24,4101884.99,55.72,300.0,6160.21,18692,12,2,7,0.52,0,0
65.04,2740.18,917941.78,9.37,1587.26,4252.97,7410,36,1,11,0.23,0,2
10.63,1818.27,2640639.14,26.99,212.62,3244.18,10123,24,1,4,0.46,0,0
96.87,4839.48,23013.2,24.73,4575.39,5001.53,13834,12,4,6,0.24,0,2
25.74,3163.91,5519608.64,26.54,258.16,7926.48,17488,24,1,12,0.46,0,0
81.22,2580.06,234689.76,12.74,1798.79,3185.69,15465,60,3,6,0.5,0,2
10.9,2967.22,6989299.19,2.87,300.0,5805.59,3657,60,1,4,0.1,0,0
71.99,2384.82,446122.7,37.04,1569.6,3814.27,34826,48,3,9,1.22,0,2
6.94,2130.91,3932518.19,15.93,311.49,6099.87,7072,24,1,10,0.28,0,0
31.62,3200.83,4789891.12,36.19,300.0,5614.29,24125,24,1,4,0.63,0,0
94.7,5008.23,70578.2,7.53,4603.86,5559.73,15745,48,4,12,0.26,0,2
93.99,5111.32,94308.87,133.38,4642.61,5569.04,78792,12,4,10,1.28,0,0
38.43,2286.74,1982579.21,2.3,269.26,4654.37,2256,60,1,11,0.08,0,0
19.84,2957.76,5621241.0,11.18,400.13,6880.25,3664,12,1,7,0.1,0,0
0.0,1681.59,4011588.58,30.25,221.62,3964.94,5665,12,1,3,0.28,0,0
36.87,2672.25,2845863.99,69.76,414.69,5041.52,39210,24,2,12,1.22,0,0
58.83,2093.99,743150.26,17.69,641.94,2731.19,14603,48,3,5,0.58,0,2
57.17,2275.2,949691.31,51.91,482.41,3149.83,13433,12,3,7,0.49,0,1
66.73,3476.31,1337321.53,11.42,2808.27,4811.64,15656,48,3,3,0.38,0,2
39.12,3328.18,4105491.86,29.33,557.94,5544.02,36384,48,2,8,0.91,0,0
10.82,2835.58,6394007.9,25.36,300.0,7666.39,31599,60,2,8,0.93,0,0
81.89,2467.86,199769.17,111.38,1853.35,3153.37,31265,12,3,8,1.06,0,0
26.71,3139.07,5292789.36,16.22,300.0,7359.1,22376,60,2,9,0.59,0,1
39.17,2941.26,3201548.22,25.79,509.27,5983.23,21879,36,1,12,0.62,0,1
0.0,2032.62,4279124.7,37.54,346.91,5780.44,16050,24,2,6,0.66,0,0
27.53,2232.21,2616550.76,32.79,300.0,5248.62,15095,24,1,10,0.56,0,0
94.6,4998.47,72792.79,10.77,4569.24,5432.38,22477,48,4,10,0.37,0,2
71.92,2585.55,527144.71,40.55,1328.75,3779.82,32495,36,3,10,1.05,0,2
46.72,1699.23,819576.01,18.46,444.56,2583.76,6534,24,1,4,0.32,0,1
47.5,3095.89,2641779.87,45.31,411.06,4799.2,15624,12,1,10,0.42,0,0
73.16,3380.61,823286.55,14.0,1912.64,4716.5,19895,60,1,11,0.49,0,2
0.0,1368.23,2104110.22,25.36,477.02,3042.01,14911,60,1,3,0.91,0,0
96.83,5018.84,25332.59,33.65,4754.53,5204.59,54689,36,4,7,0.91,0,2
94.89,4984.14,64801.63,3.0,4635.74,5347.43,7540,60,4,10,0.13,0,2
83.42,2511.29,173336.39,119.15,2004.7,3085.07,34035,12,3,5,1.13,0,0
21.55,1732.72,1847617.89,14.53,215.41,3487.37,7366,36,1,4,0.35,0,0
45.06,1983.72,1187869.07,5.38,663.49,3167.45,4490,60,1,6,0.19,0,1
94.65,5004.71,71685.84,35.8,4577.76,5442.61,74827,48,4,8,1.25,0,2
